reservation_id,user_id,nbr_place,number_of_voyageurs,Status,reminderSent,volId_frequency,account_age_days,payment_delay_days,total_payment_amount,payment_failures_count,payment_status,Pays,Ville,newsletter_abonne,satisfaction_client,annulations_precedentes,modifications_reservation,tentatives_paiement,email_domain,suspicious_email_domain,is_fraud,reservation_date,reservation_time
res_810783,user_8778,1,1,confirmé,True,38,26,1,73.48,0,réussi,USA,Berlin,False,4,0,2,0,gmail.com,False,0,2024-09-04,09:57:29.663627
res_488122,user_7869,2,1,confirmé,True,11,22,7,289.25,0,réussi,Germany,New York,False,4,1,0,0,gmail.com,False,0,2024-09-02,22:56:11.693392
res_711333,user_2692,1,1,confirmé,True,30,6,1,58.35,0,réussi,Germany,Berlin,True,4,0,0,0,gmail.com,False,0,2024-11-24,10:39:00.694418
res_533501,user_2443,1,1,confirmé,True,53,9,1,114.27,0,réussi,Germany,New York,True,5,0,0,1,gmail.com,False,0,2025-04-28,06:26:05.654320
res_339834,user_5306,3,3,confirmé,True,99,6,4,867.53,0,réussi,France,Casablanca,True,3,2,4,4,tempmail.com,True,1,2025-07-27,08:15:01.645363
res_839142,user_4396,1,1,en attente,True,46,30,4,119.75,1,échoué,Morocco,Berlin,True,2,3,1,2,mailinator.com,True,1,2025-08-05,23:38:54.634183
res_198820,user_4032,1,1,confirmé,True,94,8,0,136.91,1,échoué,Germany,Paris,True,2,2,3,7,mailinator.com,True,1,2025-07-04,15:48:39.643487
res_291377,user_5428,1,1,annulé,False,37,13,6,85.97,0,réussi,Morocco,Paris,True,4,1,1,0,mailinator.com,True,0,2024-08-14,10:14:49.690690
res_768159,user_9108,3,3,confirmé,True,88,14,5,300.94,0,réussi,USA,Casablanca,True,1,0,0,0,gmail.com,False,0,2025-03-01,11:17:44.689136
res_531612,user_8042,3,2,confirmé,True,68,7,2,865.37,0,réussi,Germany,New York,True,3,0,0,0,mailinator.com,True,0,2024-09-25,00:20:33.665622
res_640483,user_8967,3,1,confirmé,False,67,21,5,510.93,0,réussi,France,Casablanca,False,4,0,0,0,mailinator.com,True,0,2024-08-22,09:47:58.690615
res_315565,user_9810,3,1,confirmé,True,13,28,1,652.75,0,réussi,Morocco,Tunis,True,2,7,0,4,tempmail.com,True,1,2025-08-03,03:28:15.636453
res_637898,user_9689,1,1,confirmé,True,38,25,4,152.8,0,réussi,Tunisia,Berlin,False,3,0,0,0,gmail.com,False,0,2025-01-19,08:56:04.649555
res_373665,user_4346,3,1,confirmé,True,25,19,4,675.48,0,réussi,USA,Paris,False,4,1,2,0,gmail.com,False,0,2025-08-03,11:41:37.646996
res_558832,user_7387,2,2,annulé,True,14,13,7,586.74,0,réussi,Tunisia,New York,False,3,1,0,0,hotmail.com,False,0,2024-09-14,04:59:59.701817
res_946597,user_9125,3,1,confirmé,False,33,30,1,598.6,0,réussi,Germany,New York,True,3,0,0,1,gmail.com,False,0,2025-03-06,09:53:40.711513
res_488019,user_6795,3,3,confirmé,True,22,5,7,813.56,0,réussi,France,Berlin,True,1,0,0,0,gmail.com,False,0,2024-08-29,19:46:25.654630
res_516879,user_8710,1,1,confirmé,True,76,16,1,283.61,0,réussi,Tunisia,Casablanca,True,2,0,1,0,gmail.com,False,0,2024-08-25,22:36:19.708193
res_695116,user_2784,2,2,annulé,True,36,30,3,287.01,0,réussi,Morocco,New York,False,3,0,0,0,gmail.com,False,0,2024-09-23,04:53:57.670489
res_484714,user_7649,3,3,annulé,True,50,7,0,464.85,0,réussi,Morocco,Tunis,True,1,2,0,0,gmail.com,False,0,2024-11-08,03:41:19.654807
res_699828,user_2782,1,1,en attente,True,23,14,6,177.27,0,réussi,USA,New York,True,4,1,1,0,hotmail.com,False,0,2025-04-27,17:54:23.649791
res_146029,user_5903,2,2,confirmé,False,60,16,0,105.44,0,réussi,France,Paris,False,5,0,0,0,gmail.com,False,0,2025-06-04,22:57:24.702271
res_193351,user_7877,1,1,confirmé,True,51,1,4,193.1,0,réussi,Germany,Berlin,False,3,0,0,0,gmail.com,False,0,2025-04-24,20:47:16.655334
res_730255,user_7750,2,2,en attente,True,85,3,7,448.48,0,réussi,Germany,New York,True,3,6,2,3,tempmail.com,True,1,2025-07-05,09:10:22.644346
res_985396,user_7740,1,1,confirmé,True,73,26,5,182.01,0,réussi,Tunisia,Tunis,True,2,1,0,0,hotmail.com,False,0,2025-05-29,12:29:26.737122
res_619071,user_5775,3,2,confirmé,True,96,15,3,892.75,1,échoué,Morocco,New York,False,5,1,0,4,mailinator.com,True,1,2025-07-17,09:08:31.641948
res_499540,user_7397,1,1,en attente,True,54,4,5,98.08,0,réussi,Tunisia,New York,False,2,1,1,0,gmail.com,False,0,2025-04-06,17:47:23.724023
res_829445,user_4018,3,1,confirmé,True,28,0,1,642.3,0,réussi,Tunisia,Tunis,True,4,2,1,5,gmail.com,False,1,2025-06-23,09:45:42.638415
res_817577,user_8320,3,3,confirmé,False,27,26,0,798.36,0,réussi,Tunisia,Tunis,False,4,1,0,0,hotmail.com,False,0,2025-05-12,08:46:40.735793
